sigma,gain,specification,moment,mean,monte_carlo_se,mean_ci_low,mean_ci_high,paired_difference_from_re,paired_ci_low,paired_ci_high,paired_draws,rms_path_distance_from_re
1,0.04,archive,sigma_c_over_y,0.536124611077718,0.000135967301013653,0.535858115167732,0.536391106987705,-0.000301236023226664,-0.000368956812405479,-0.000235965211652894,5000,0.0198721364222879
1,0.04,archive,sigma_i_over_y,2.4249551390574,0.000247735245311998,2.42446957797659,2.42544070013821,-0.00115243576921111,-0.0014099203696909,-0.000918295080543785,5000,0.0198721364222879
1,0.04,archive,sigma_h_over_y,0.493185680290876,7.501808353575e-05,0.493038644847146,0.493332715734606,-0.000584811798516765,-0.00066856366382977,-0.000499049800250021,5000,0.0198721364222879
1,0.04,archive,rho_dc,0.0762284530248021,0.00124278952566099,0.0737925855545065,0.0786643204950976,-0.00587092030367428,-0.0059052611892991,-0.00583584337515249,5000,0.0198721364222879
1,0.04,archive,rho_dy,0.00133206319231025,0.00109308851187926,-0.000810390290973105,0.00347451667559361,0.00480243277713677,0.00477701827376794,0.00482757401813381,5000,0.0198721364222879
1,0.04,archive,rho_di,-0.0190390434597688,0.00107462905874681,-0.0211453164149126,-0.0169327705046251,0.010474557266295,0.0104196258607568,0.0105353453267987,5000,0.0198721364222879
1,0.04,archive,rho_wage_fe,0.0923952008691869,0.000975222439226896,0.0904837648883022,0.0943066368500716,0.0973449624805945,0.0964899311528864,0.0982171478752662,5000,0.0198721364222879
1,0.04,wage_proxy,sigma_y,1.08654225412412,0.00297548271159767,1.08071030800939,1.09237420023885,0.015672858901875,0.0112555045031127,0.0198315051820868,4958,0.865949752950418
1,0.04,wage_proxy,sigma_c_over_y,0.547732346050015,0.00194082503238714,0.543928328986536,0.551536363113494,0.0112862703949759,0.00769831503055085,0.0153037670841364,4958,0.865949752950418
1,0.04,wage_proxy,sigma_i_over_y,2.4460242723809,0.00581156800293782,2.43463359909514,2.45741494566665,0.0199484627510929,0.00839257590445062,0.0315518490949547,4958,0.865949752950418
1,0.04,wage_proxy,sigma_h_over_y,0.508094551637644,0.00182475082787174,0.504518040015016,0.511671063260273,0.0143319673540311,0.0105574839567161,0.0179152290968661,4958,0.865949752950418
1,0.04,wage_proxy,rho_dc,0.0319282827060734,0.00170265641914496,0.0285910761245493,0.0352654892875976,-0.0502132751344859,-0.0518576181179959,-0.0485507302813521,4958,0.865949752950418
1,0.04,wage_proxy,rho_dy,0.0563676755241059,0.00115736951902872,0.0540992312668096,0.0586361197814022,0.0598509360969611,0.0590433207959447,0.0607412007133079,4958,0.865949752950418
1,0.04,wage_proxy,rho_di,0.112770751162264,0.00128870874767121,0.110244882016829,0.1152966203077,0.142315145654334,0.140550520644366,0.144013139975189,4958,0.865949752950418
1,0.04,wage_proxy,rho_wage_fe,0.0659685018457245,0.00119582523806381,0.0636246843791194,0.0683123193123296,0.070919619317477,0.069720779980541,0.0722498127492663,4958,0.865949752950418
1,0.04,paper,sigma_y,1.08699079651464,0.00297802703067707,1.08115386353451,1.09282772949477,0.0161214012923947,0.0117485914417403,0.0202767094412929,4958,0.87018897034742
1,0.04,paper,sigma_c_over_y,0.547423194195525,0.0019414167357834,0.543618017393389,0.55122837099766,0.0109771185404854,0.00693654404377568,0.0149236498529319,4958,0.87018897034742
1,0.04,paper,sigma_i_over_y,2.44713338208996,0.00581437299126401,2.43573721102708,2.45852955315283,0.0210575724601548,0.00945497148806389,0.0325438233969145,4958,0.87018897034742
1,0.04,paper,sigma_h_over_y,0.508470612338341,0.0018258937560006,0.50489186057658,0.512049364100102,0.0147080280547275,0.0109904297489907,0.0182777517040151,4958,0.87018897034742
1,0.04,paper,rho_dc,0.0321276374790596,0.00170546682202404,0.0287849225078925,0.0354703524502268,-0.0500139203614997,-0.0516661058368539,-0.0482452149274434,4958,0.87018897034742
1,0.04,paper,rho_dy,0.0563460812703649,0.00115853745631578,0.054075347855986,0.0586168146847439,0.0598293418432201,0.0590210179689755,0.0607566960274742,4958,0.87018897034742
1,0.04,paper,rho_di,0.112653937843012,0.0012893903234563,0.110126732809037,0.115181142876986,0.142198332335082,0.140517171449775,0.143938388470934,4958,0.87018897034742
1,0.04,paper,rho_wage_fe,0.13015237400631,0.00250051814961167,0.125251358433071,0.135053389579549,0.135103491478062,0.130897348350834,0.139476959741013,4958,0.87018897034742
